Codigo	nombre	Principal	TipoFarmacia	provincia	municipio
1	FARMACIA HEIDY GILBEN SRL	1	PRINCIPAL	ESPAILLAT	MOCA
6937	FARMACIA BERENICE SRL	6937	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO ESTE
9045	FARMACIA RAMIREZ MEDINA SRL	9045	PRINCIPAL	SAN PEDRO DE MACORIS	SAN PEDRO DE MACORIS
9048	FARMACIA ROMAX	9048	PRINCIPAL	SANTO DOMINGO	LOS ALCARRIZOS (DM)
308	FARMACIA ROMAX PANTOJA	9048	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
480	FARMACIA ROMAX 3	9048	SUCURSAL	SANTO DOMINGO	LOS ALCARRIZOS (DM)
9052	FARMACIA MEXICO	9052	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9053	FARMACIA DON HONORIO SRL	9053	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO OESTE
9130	FARMACIA LUZON C POR A	9130	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO ESTE
9240	EL PORTAL FLORIDO S.A	9240	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
222	FARMACIA ROSANNA II	9240	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
407	FARMACIA ROSANNA III	9240	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
835	FARMACIA ROSANNA V	9240	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
2412	FARMACIA ROSANNA VI	9240	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
2585	FARMACIA ROSANNA IV	9240	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9313	FARMACIA CHARO SRL	9313	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO OESTE
9316	FARMACIA SANDRA C POR A	9316	PRINCIPAL	SAN CRISTOBAL	SAN CRISTOBAL
9318	FARMACIA SAN MIGUEL S.A	9318	PRINCIPAL	LA VEGA	JARABACOA
318	FARMACIA SAN MIGUEL VI (ANT. FCIA. EL GUANO) SANTIAGO	9318	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
364	FARMACIA SAN MIGUEL II	9318	SUCURSAL	LA VEGA	JARABACOA
365	FARMACIA SAN MIGUEL III	9318	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
366	FARMACIA SAN MIGUEL V	9318	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
483	FARMACIA SAN MIGUEL VII	9318	SUCURSAL	LA VEGA	JARABACOA
2398	FARMACIA SAN MIGUEL VIII	9318	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
2499	FARMACIA SAN MIGUEL X	9318	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
9320	GRUPO CAROL S A	9320	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
97	FARMACIA CAROL MAXIMO GOMEZ	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
98	FARMACIA CAROL SAN CARLOS	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
99	FARMACIA CAROL 27 DE FEBRERO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
101	FARMACIA CAROL VILLA MELLA	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO NORTE
103	FARMACIA CAROL BELLA VISTA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
104	FARMACIA CAROL PALACIO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
105	FARMACIA CAROL LOPE DE VEGA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
106	FARMACIA CAROL CHARLES DE GAULLE	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
107	FARMACIA CAROL ARROYO HONDO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
108	FARMACIA CAROL GAZCUE	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
